judul_berita,link_berita,tanggal_rilis,detail_konten,sumber_data
Radar SurabayaJatah Pupuk Subsidi Terus Turun sejak 2019 tapi Produksi Jagung Ditarget Naik. Begini Langkah Dinas Pertanian Jatim - Radar SurabayaProduksi jagung Jawa Timur tahun 2023 sebanyak 4429 juta ton pipilan kering dengan kadar air 14 persen..25 Jan 2024,https://radarsurabaya.jawapos.com/jatim/774032831/jatah-pupuk-subsidi-terus-turun-sejak-2019-tapi-produksi-jagung-ditarget-naik-begini-langkah-dinas-pertanian-jatim?page=2,Error accessing article,HTTP 403,google_news
"Radar SurabayaBulog Jatim Beli Jagung Petani di Atas Harga Acuan Pembelian Pemerintah, Segini Harganya - Radar SurabayaRADAR SURABAYA – Bulog mendapat tugas dari Presiden Joko Widodo untuk menyerap jagung hasil panen petani secara maksimal..24 Apr 2024",https://radarsurabaya.jawapos.com/ekonomi/774574150/bulog-jatim-beli-jagung-petani-di-atas-harga-acuan-pembelian-pemerintah-segini-harganya,Error accessing article,HTTP 403,google_news
"Radar SurabayaHarga Pakan Melambung, Harga Jual Telur Ayam Anjlok, Peternak Rugi Rp 5.000 Per Kilogram - Radar SurabayaPeternak ayam petelur di Jawa Timur mengaku sudah lebih dari satu bulan merugi. Kondisi ini disebabkan harga pakan ternak yang terus naik,....1 minggu lalu",https://radarsurabaya.jawapos.com/nasional/776450012/harga-pakan-melambung-harga-jual-telur-ayam-anjlok-peternak-rugi-rp-5000-per-kilogram,Error accessing article,HTTP 403,google_news
Radar Surabaya26 Ribu Ton Jagung Impor Langsung Habis di Pasaran - Radar SurabayaSURABAYA – Sebanyak 26.200 ton jagung yang diimpor asal Brazil tiba di gudang yang disewa Divisi Regional Bulog Jawa Timur di kawasan....25 Jan 2019,https://radarsurabaya.jawapos.com/ekonomi/77958885/26-ribu-ton-jagung-impor-langsung-habis-di-pasaran,Error accessing article,HTTP 403,google_news
"Radar SurabayaDua Strategi Bulog Jatim Jaga Stabilisasi Harga Jagung, Begini Skemanya - Radar SurabayaBulog Jawa Timur memiliki dua skema untuk menjaga stabilisasi harga jagung. Yakni skema Public Service Obligation (PSO) dan skema komersial..7 Jul 2024",https://radarsurabaya.jawapos.com/ekonomi/774837213/dua-strategi-bulog-jatim-jaga-stabilisasi-harga-jagung-begini-skemanya,Error accessing article,HTTP 403,google_news
Radar SurabayaBulog Jatim Siap Serap Gabah dan Beras Petani sesuai HPP Baru - Radar SurabayaPerum Bulog Kanwil Jawa Timur menyatakan kesiapannya untuk menyerap gabah dan beras dengan Harga Pembelian Pemerintah (HPP) baru..14 Jan 2025,https://radarsurabaya.jawapos.com/ekonomi/775526585/bulog-jatim-siap-serap-gabah-dan-beras-petani-sesuai-hpp-baru,Error accessing article,HTTP 403,google_news
"Harga Jagung Melambung, Segini Kerugian yang Dialami Peternak Ayam ...",https://radarsurabaya.jawapos.com/ekonomi/774086051/harga-jagung-melambung-segini-kerugian-yang-dialami-peternak-ayam-petelur-di-jatim,Error accessing article,HTTP 403,bing_news
"Harga Jagung Naik, Ketua DPD RI : Fenomena Perulangan, Butuh Solusi ...",https://radarsurabaya.jawapos.com/ekonomi/774088692/harga-jagung-naik-ketua-dpd-ri-fenomena-perulangan-butuh-solusi-akar-masalah,Error accessing article,HTTP 403,bing_news
"Impor Jagung Bulog Tiba di Teluk Lamong Surabaya, Buwas Langsung ...",https://radarsurabaya.jawapos.com/ekonomi/773291128/impor-jagung-bulog-tiba-di-teluk-lamong-surabaya-buwas-langsung-lakukan-hal-ini,Error accessing article,HTTP 403,bing_news
"Dilema Pangan Lokal, Harga Talas dan Singkong Lebih Mahal ketimbang ...",https://radarsurabaya.jawapos.com/ekonomi/775354812/dilema-pangan-lokal-harga-talas-dan-singkong-lebih-mahal-ketimbang-gandum-impor,Error accessing article,HTTP 403,bing_news
